year_gb,avg_temp,moving_avg_gb,moving_avg_LA,,,,year_LA,avg_temp,moving_avg_LA
1750,8.72,#N/A,,,,,1849,15.71,#N/A
1751,7.98,#N/A,,,,,1850,15.28,#N/A
1752,5.78,#N/A,,,,,1851,15.53,#N/A
1753,8.39,#N/A,,,,,1852,15.61,#N/A
1754,8.47,#N/A,,,,,1853,16.27,#N/A
1755,8.36,7.95,,,,,1854,15.74,15.69
1756,8.85,7.971666667,,,,,1855,15.94,15.72833333
1757,9.02,8.145,,,,,1856,15.52,15.76833333
1758,6.74,8.305,,,,,1857,16.19,15.87833333
1759,7.99,8.238333333,,,,,1858,15.67,15.88833333
1760,7.19,8.025,,,,,1859,15.29,15.725
1761,8.77,8.093333333,,,,,1860,15.41,15.67
1762,8.61,8.053333333,,,,,1861,16.51,15.765
1763,7.5,7.8,,,,,1862,16.05,15.85333333
1764,8.4,8.076666667,,,,,1863,15.88,15.80166667
1765,8.25,8.12,,,,,1864,16.62,15.96
1766,8.41,8.323333333,,,,,1865,15.89,16.06
1767,8.22,8.231666667,,,,,1866,16.33,16.21333333
1768,6.78,7.926666667,,,,,1867,16.51,16.21333333
1769,7.69,7.958333333,,,,,1868,16.09,16.22
1770,7.69,7.84,,,,,1869,16.05,16.24833333
1771,7.85,7.773333333,,,,,1870,15.64,16.085
1772,8.19,7.736666667,,,,,1871,15.89,16.085
1773,8.22,7.736666667,,,,,1872,15.66,15.97333333
1774,8.77,8.068333333,,,,,1873,15.7,15.83833333
1775,9.18,8.316666667,,,,,1874,15.33,15.71166667
1776,8.3,8.418333333,,,,,1875,16.19,15.735
1777,8.26,8.486666667,,,,,1876,15.7,15.745
1778,8.54,8.545,,,,,1877,16.24,15.80333333
1779,8.98,8.671666667,,,,,1878,15.44,15.76666667
1780,9.43,8.781666667,,,,,1879,15.55,15.74166667
1781,8.1,8.601666667,,,,,1880,14.36,15.58
1782,7.9,8.535,,,,,1881,15.65,15.49
1783,7.68,8.438333333,,,,,1882,14.85,15.34833333
1784,7.86,8.325,,,,,1883,15.52,15.22833333
1785,7.36,8.055,,,,,1884,15.28,15.20166667
1786,8.26,7.86,,,,,1885,16.44,15.35
1787,8.03,7.848333333,,,,,1886,15.74,15.58
1788,8.45,7.94,,,,,1887,15.62,15.575
1789,8.33,8.048333333,,,,,1888,15.91,15.75166667
1790,7.98,8.068333333,,,,,1889,16.22,15.86833333
1791,8.23,8.213333333,,,,,1890,15.8,15.955
1792,8.09,8.185,,,,,1891,15.63,15.82
1793,8.23,8.218333333,,,,,1892,15.33,15.75166667
